,B/Plasma,Cancer Epithelial,Endothelial,Fibroblasts,Myeloid,PVL,T/NK Cells
HLA-DRB1,14.052453478200784,1.5424707165468077,14.82673818554949,1.7112016813040005,44.18193910195815,0.6873501862694034,3.0114699462325474
HLA-DRB5,7.794312252420227,0.4746676390483089,6.509338737540105,0.36581386311486014,16.257430561049702,0.34413246311446216,1.2917616901904612
HMOX1,0.2674215624377286,0.19753174756930292,0.3518259841911113,0.1699245146483176,4.086184740841425,0.056651043998175624,0.14591660884043708
HOPX,0.5001518957253247,0.18550441319716024,0.35968695607296725,0.7232606621800288,0.061358062350354264,1.151272554724831,4.044634692201088
HSPG2,0.09563197511774013,0.1917101642164979,8.18162986927335,1.891079040538861,0.08779166608565057,0.6425752599382807,0.04304120624631368
HTRA1,0.0523970678394112,0.14106108737246464,1.603839581264389,5.858846820746105,1.1007544023396938,0.49285694892679754,0.0628200820659104
HYAL2,0.07446846841242771,0.2249214941961616,3.4090648611080607,0.23723525314561555,0.1510107505175784,0.17809583528269055,0.051001155774935955
ID1,0.18324896834830381,1.2276365069220505,7.480102075072931,0.9776174587289979,0.1322985340403801,1.5118315514390055,0.21973431760695436
IFI27,3.303032804784234,5.303176753562475,27.984238683302998,14.892082379750422,13.040178316996817,7.631220256123951,0.8230834113925325
IFNG,0.3620898913474124,0.042271954896479225,0.022905616436331835,0.021878276602743867,0.06589899896481642,0.03199151513474731,2.551960793456183
IGFBP3,0.12495988997718549,0.36191602711925075,4.881391155505738,1.8299143930608728,0.03044913464538133,0.27939442557823246,0.10599808905411615
IGFBP4,0.2850280021940564,1.4109207390286795,14.555975819486942,12.31663280910553,0.29458965782657065,6.4247119489591995,0.4043703955564328
IGFBP5,0.22017828428243905,6.774545041354777,3.1117224967220998,5.712674279856651,0.544909862918106,12.603267388412606,0.07634835126554874
IGFBP7,0.9792689498640381,8.469230262677229,58.95940577514844,33.886272298374365,0.5085313288167321,88.43646746545807,1.0313286918667262
IGHA1,32.657797683056124,0.30909340815994674,0.30099447450005,0.3751552207712608,0.6685474996925742,0.17357353862193653,0.5726297557439518
IGHA2,5.777829815506427,0.02799278864786922,0.043040681634789656,0.03453154162020968,0.04506068890885605,0.046117471182489995,0.0397818614365418
IGHG1,99.16434624099767,0.3814993403870328,0.3180253919541587,1.2039914901830384,0.7712687470701374,0.43908184220263907,0.4630154836373712
IGHG2,11.207220265971113,0.10755145399752736,0.03367690034281103,0.22388432111203166,0.23054865820322537,0.04250360189226099,0.038499743271566536
IGHG3,69.1867657176584,0.35488379659339675,0.16425960955595192,0.38515624591489234,0.3500173640847863,0.32096040652983343,0.3190761964816732
IGHG4,40.80628219547963,0.33258965967879484,0.10059300078419534,0.17726089835127515,0.26614591500813395,0.09716566761987165,0.19364987715566234
IGHM,33.519330023465585,0.1564119175126162,0.10167050943951168,0.2331260972910124,0.3756658980734787,0.09602555275875321,0.3276305386652106
IGHV1-18,6.274249407654948,0.033765545492155824,0.027635780813292852,0.09993870702592718,0.03072876028378561,0.03490786306324434,0.051716602855423635
IGHV1-2,3.706475947610912,0.019321782467223467,0.03325806130875534,0.028537292838586567,0.03641492126937387,0.021086121263209117,0.06489746687213767
IGHV3-15,6.0588899139358965,0.012745373688184146,0.01834709997186285,0.030127657342402848,0.0188328815690802,0.028840726597827694,0.035648310659447735
IGHV3-21,10.583668196842416,0.0501772451296965,0.058623001089419965,0.18523449408824505,0.07967526585705767,0.04896771716307803,0.09612091984495173
IGHV3-23,14.283038560885508,0.1536156504168415,0.061435234927821755,0.7585793702324303,0.06337324678306352,0.11581530889243624,0.11363674977376917
IGHV3-30,5.668495321770589,0.04877433021267981,0.050859250917986924,0.12801342967428056,0.034543209675371736,0.027639769781865886,0.05144409067349043
IGHV3-74,3.7000350076811905,0.023909113014985797,0.06396587384277447,0.044855196513325535,0.02422405158007296,0.08029076847721998,0.04337099530647734
IGHV4-34,3.9848517650384436,0.018132110862815326,0.01785482542165082,0.019392720519080624,0.019257967553578777,0.025371206459876987,0.034260525007716626
IGHV4-39,6.2071207634032275,0.04302880246483075,0.05543664392559387,0.1414860920434603,0.057714324249042735,0.06645577437108716,0.07414852436645275
IGHV4-4,3.9631547161925744,0.007702200451204176,0.012497170715387453,0.009860869239173932,0.007787135052963958,0.012271551478701018,0.014721093028964075
IGHV5-51,7.074478178274725,0.060121874766369716,0.056512503111980715,0.2193080717776222,0.026970986146721387,0.03248538233195955,0.06077840909314389
IGKC,410.774267550086,1.7494994798687546,1.5438385094713551,2.1854013656083584,3.943494425027969,2.37394491787268,2.0299623489358387
IGKV1-16,3.7701755676851443,0.018178675594746375,0.01884905676873737,0.029286714178150992,0.02241855824793393,0.016738014802224994,0.041035131485100476
IGKV1-5,27.271289728701678,0.14262044381876543,0.2721366132899544,0.40053666637168756,0.19072883428736173,0.19664877531104247,0.27354875429883624
IGKV1-6,3.58278833106948,0.014649859746163903,0.05038937713046375,0.025181493086972602,0.025494746685572167,0.014779418969790903,0.02766432830085924
IGKV1-8,3.5089213069017053,0.013086825154600908,0.009582455675143235,0.03813443821208952,0.02057028012959028,0.002069951099475226,0.014502834779672577
IGKV1-9,7.912388190266618,0.09269992600815143,0.07571715429319459,0.1467051942506239,0.11751397718978256,0.13346370710705946,0.1302763047882929
IGKV2-30,3.9194201434848783,0.00655336306467737,0.008175016024627859,0.012308793233859026,0.009266784121157444,0.006803319677715653,0.014122249802840974
IGKV3-11,20.635044779162556,0.13108128226290072,0.7033777679860875,0.1862595247526483,0.13513787556400575,0.15689579078562374,0.24602143360941828
IGKV3-15,12.464031361095708,0.08950863473821197,0.08481001901188205,0.2949013849976588,0.11093752770793584,0.062164996095892766,0.13494567607864646
IGKV3-20,24.684080038799404,0.3902954343463305,0.38373101563967416,0.7675774582559715,0.2411244817202874,0.4074034519099481,0.32199812900554636
IGKV4-1,17.89817635950519,0.15847375154478074,0.16446577019117953,0.635885968606498,0.20070804832468236,0.1360937060757505,0.23729137188649513
IGLC2,110.60320396582988,0.5879414143987134,0.7162339595895936,0.5619471654867803,1.067134221521488,0.3676379659298908,0.5483771131889602
IGLC3,53.56148332504772,0.16796301688943616,0.33642384004107534,0.24909329350568338,0.368053649384318,0.14160620870290275,0.2552308217863114
IGLL5,9.261953610929412,0.020485257023361403,0.24746219907378392,0.06053951802300949,0.03717142437559709,0.007674518668929492,0.013991994169065897
IGLV1-40,9.59842930967327,0.04508579057121258,0.10939392642792113,0.1236085085872089,0.10847177806201114,0.08366231214801552,0.1397689169559359
IGLV1-44,8.618725379309089,0.04250803328269677,0.051013428173883976,0.03440009640995593,0.03606311947950428,0.06297431141645017,0.07613857228550398
IGLV1-47,11.066371988106022,0.01887181614740379,0.018798753812645078,0.03805177972465309,0.04990311809161921,0.030902397946632916,0.046953902902842154
IGLV1-51,13.345675436981828,0.11701776577617055,0.13384654227797246,0.4097470416554231,0.11488954135176828,0.11597463289297112,0.14257472334381696
IGLV2-11,7.095170176928165,0.02051125958418578,0.033583025815702564,0.05317163957891785,0.028325419077710422,0.03177537391285558,0.038186484232533006
IGLV2-14,15.932545776802316,0.1007499366595657,0.09291173373510127,0.26193876451505094,0.1352324347188526,0.09476564616504957,0.2921006612618765
IGLV2-23,6.289076633579914,0.06059933929030334,0.11863203313700799,0.11759470441884425,0.04243406337858014,0.033738044390997125,0.06563837213571562
IGLV2-8,5.877876647654945,0.055165099177247726,0.0866119367056386,0.1000631393383095,0.05731901133545147,0.0369920874174258,0.0810633119140173
IGLV3-1,19.423238283846107,0.03230178223255299,0.055398170635812295,0.09597346887169898,0.08799838417848896,0.05245863878694733,0.10303830862121013
IGLV3-19,6.635278065245711,0.024818226447367708,0.0638693874907821,0.1281936064890667,0.0598165194777696,0.05043846440653619,0.05547995364905549
IGLV3-21,7.600182270122882,0.07034563127103467,0.08834712171601103,0.32979708655998397,0.12586065356677895,0.0902383524172964,0.09038009794773844
IGLV3-25,21.78048542922206,0.06586975382913955,0.09775873303704789,0.251577719411612,0.07735037311469649,0.06888514716902373,0.1317790602186191
IGLV6-57,5.692197171670566,0.02324782031842413,0.07104004930316699,0.21101467705474847,0.03104297072677237,0.061801058009185096,0.049813806079191295
IGLV7-46,5.839204164331702,0.017967958157303877,0.013537559243854264,0.013910286556780256,0.025812747929543724,0.03376034027966407,0.034693682549535455
IGSF6,0.5160208509165708,0.07793221829593275,0.0636261802213429,0.19945977739729487,3.8321747853421746,0.026629630125075496,0.04302644210545994
IL1B,0.358113469187402,0.09709467258387824,0.06273873785964904,0.07032681512661548,4.254396514264701,0.055625830872641994,0.051378687477499824
IL2RB,0.17561175425052686,0.025167841777638263,0.0105416961930068,0.03410929486306012,0.08970071121509944,0.02645979746504575,4.11753309849297
IL2RG,2.077750121936498,0.10712839396826677,0.20182241337383733,0.10520839305877605,0.9147968383317007,0.07366266542252042,5.289458850633451
IL32,2.3727933472689795,0.7140276719859648,2.2626833592782916,1.8833615371260273,0.7072807458201118,1.026497923493638,13.954600575898898
IL33,0.03497336788828575,0.07035691749519792,3.119139510048158,0.24006298215127458,0.008926718153183712,0.10066809860410336,0.010595108952662123
IL7R,1.2361117057538038,0.2161581223673862,0.12169568137648913,0.22892106177346835,0.8169266354137841,0.03919749780563341,7.446618062330625
INHBA,0.08966462842295818,0.10927352584569562,0.03918069443002524,5.678880042163193,0.2442584760454072,0.45049776597205066,0.011206384147821803
ISLR,0.05254588844230779,0.24099371338077777,0.12244875191377422,14.628931294915168,0.06129365437537764,1.123589858313785,0.028800565465097
JCHAIN,26.334296516400915,0.1460306640287499,0.16490990977321573,0.21447025426581393,0.21652867187928349,0.11121350460225432,0.20513145606303554
KLRB1,0.39725486700116924,0.10153618696429964,0.06004483323355089,0.06097135135961881,0.1749730113503809,0.02493272521380888,5.929241664953095
KLRC1,0.0777281688268141,0.011124916927538623,0.0017479615722810168,0.01187404803279376,0.013828642100834251,0.0018062226537890217,2.1211091655616947
KLRD1,0.16274041170445966,0.027697588012429053,0.019705090241845028,0.06143989741522819,0.09842746850463387,0.019995338756375734,7.928547775428312
KRT14,0.11924024677274674,5.355247896327196,0.08728764121300092,0.06753066446257501,0.08396851103066244,2.7603194870448626,0.04833395197576876
KRT15,0.1053253592607597,4.3986138764349505,0.08928879064532663,0.12106142958613506,0.06774940018792791,0.21360412729504424,0.10043162772332564
KRT17,0.09915245037502717,6.0980667069758265,0.074463913828637,0.09304399337992557,0.11631414863609009,3.398650971177693,0.06589606423669711
KRT18,0.294487241421592,8.495292128942722,0.5007990797313413,0.5641492869670951,0.2855886186863207,1.2633326698408704,0.19695320546704004
